"DateTime","Positive reviews","Negative reviews"
"2016-03-20 00:00:00",392,-74
"2016-03-21 00:00:00",392,-57
"2016-03-22 00:00:00",379,-41
"2016-03-23 00:00:00",349,-43
"2016-03-24 00:00:00",968,-67
"2016-03-25 00:00:00",410,-46
"2016-03-26 00:00:00",503,-79
"2016-03-27 00:00:00",405,-78
"2016-03-28 00:00:00",442,-77
"2016-03-29 00:00:00",384,-55
"2016-03-30 00:00:00",423,-57
"2016-03-31 00:00:00",458,-43
"2016-04-01 00:00:00",365,-61
"2016-04-02 00:00:00",384,-41
"2016-04-03 00:00:00",399,-68
"2016-04-04 00:00:00",382,-85
"2016-04-05 00:00:00",329,-47
"2016-04-06 00:00:00",373,-45
"2016-04-07 00:00:00",350,-59
"2016-04-08 00:00:00",324,-54
"2016-04-09 00:00:00",339,-45
"2016-04-10 00:00:00",380,-72
"2016-04-11 00:00:00",403,-56
"2016-04-12 00:00:00",362,-38
"2016-04-13 00:00:00",355,-63
"2016-04-14 00:00:00",346,-42
"2016-04-15 00:00:00",184,-38
"2016-04-16 00:00:00",335,-60
"2016-04-17 00:00:00",365,-77
"2016-04-18 00:00:00",347,-83
"2016-04-19 00:00:00",297,-38
"2016-04-20 00:00:00",312,-46
"2016-04-21 00:00:00",330,-58
"2016-04-22 00:00:00",332,-46
"2016-04-23 00:00:00",291,-54
"2016-04-24 00:00:00",378,-62
"2016-04-25 00:00:00",364,-32
"2016-04-26 00:00:00",313,-57
"2016-04-27 00:00:00",411,-79
"2016-04-28 00:00:00",386,-58
"2016-04-29 00:00:00",363,-51
"2016-04-30 00:00:00",323,-65
"2016-05-01 00:00:00",367,-61
"2016-05-02 00:00:00",295,-63
"2016-05-03 00:00:00",338,-66
"2016-05-04 00:00:00",354,-52
"2016-05-05 00:00:00",321,-50
"2016-05-06 00:00:00",328,-63
"2016-05-07 00:00:00",278,-35
"2016-05-08 00:00:00",350,-54
"2016-05-09 00:00:00",369,-55
"2016-05-10 00:00:00",330,-50
"2016-05-11 00:00:00",335,-57
"2016-05-12 00:00:00",277,-42
"2016-05-13 00:00:00",312,-43
"2016-05-14 00:00:00",309,-53
"2016-05-15 00:00:00",325,-52
"2016-05-16 00:00:00",318,-56
"2016-05-17 00:00:00",302,-34
"2016-05-18 00:00:00",516,-51
"2016-05-19 00:00:00",472,-54
"2016-05-20 00:00:00",414,-44
"2016-05-21 00:00:00",438,-80
"2016-05-22 00:00:00",426,-78
"2016-05-23 00:00:00",451,-61
"2016-05-24 00:00:00",372,-51
"2016-05-25 00:00:00",370,-49
"2016-05-26 00:00:00",380,-51
"2016-05-27 00:00:00",393,-59
"2016-05-28 00:00:00",413,-43
"2016-05-29 00:00:00",339,-90
"2016-05-30 00:00:00",387,-67
"2016-05-31 00:00:00",400,-69
"2016-06-01 00:00:00",387,-54
"2016-06-02 00:00:00",370,-51
"2016-06-03 00:00:00",333,-84
"2016-06-04 00:00:00",403,-51
"2016-06-05 00:00:00",389,-76
"2016-06-06 00:00:00",437,-60
"2016-06-07 00:00:00",373,-64
"2016-06-08 00:00:00",363,-57
"2016-06-09 00:00:00",378,-71
"2016-06-10 00:00:00",374,-65
"2016-06-11 00:00:00",372,-67
"2016-06-12 00:00:00",356,-36
"2016-06-13 00:00:00",313,-63
"2016-06-14 00:00:00",318,-63
"2016-06-15 00:00:00",364,-70
"2016-06-16 00:00:00",371,-63
"2016-06-17 00:00:00",342,-69
"2016-06-18 00:00:00",337,-43
"2016-06-19 00:00:00",382,-56
"2016-06-20 00:00:00",335,-45
"2016-06-21 00:00:00",357,-53
"2016-06-22 00:00:00",388,-51
"2016-06-23 00:00:00",425,-61
"2016-06-24 00:00:00",430,-45
"2016-06-25 00:00:00",892,-88
"2016-06-26 00:00:00",638,-69
